NAME: ,walk_113_1_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:08,,,,,
ACTIVITY TYPE: ,WALKING,,,,,
COUNT OF ACTUAL STEPS: ,23,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
61.22,-9.19,-1.37,2.31,0.18,0.04,0.01
61.27,-9.46,-1.06,2.2,0.14,0.13,-0.02
61.33,-9.58,-0.94,2.16,0.07,0.22,-0.11
61.38,-9.78,-1.41,1.84,0.14,0.33,-0.1
61.43,-9.9,-1.26,1.73,0.35,0.26,-0.04
61.49,-9.19,-0.71,1.57,0.55,0.17,-0.03
0.54,-9.27,-0.27,1.49,0.49,0.21,-0.07
0.6,-9.42,-0.55,1.57,0.33,0.26,-0.14
61.65,-9.15,-0.55,1.92,0.17,0.37,-0.18
61.71,-9.42,-0.55,1.92,0.14,0.43,-0.19
61.76,-9.31,-0.47,2,0.11,0.36,-0.22
61.81,-9.39,-0.24,1.49,0.1,0.43,-0.37
61.87,-10.21,-0.51,0.63,0.18,0.47,-0.43
61.92,-11.9,-0.31,0.94,0.36,0.28,-0.23
61.97,-13.03,-0.55,0.9,0.16,-0.04,-0.05
62.03,-12.95,-1.22,1.22,-0.38,-1.11,0.33
62.08,-9.82,-2.82,2.35,-0.8,-1.71,0.43
62.14,-8.4,-2.04,0.82,-0.84,-1.93,0.52
62.19,-9.74,-0.12,2.63,-0.67,-1.44,0.73
62.24,-8.91,-2.55,2.31,-0.67,-1.83,0.46
62.3,-4.95,-1.57,4.94,-0.81,-1.83,0.3
62.35,-6.87,-1.69,4.24,-0.24,-1.23,0.69
0.41,-4.05,-1.14,4.67,-0.41,-0.02,0.47
62.46,-3.81,-0.47,6.63,-0.34,1.34,0.03
62.51,-13.27,0,6.16,-0.49,1.42,-0.05
62.57,-6.29,-3.02,13.3,-0.25,-0.45,0.02
62.62,-8.21,-4.79,5.61,0.4,-1.18,0.26
0.68,-15.47,-2.24,3.96,-0.21,1.22,-1.23
62.73,0.66,-0.08,0.31,-0.28,-0.03,-0.16
62.78,-12.17,1.14,2.31,0.8,2.8,0.5
0.84,-6.44,-2.71,0.67,0.51,0.82,0.03
62.89,-8.48,-0.35,2.04,0.6,1.08,-0.41
62.95,-8.37,-0.63,1.96,0.63,0.85,-0.56
63,-9.19,-0.82,1.37,0.5,1.1,-0.7
63.06,-9.97,-1.65,1.88,0.74,0.8,-0.86
63.11,-10.01,1.02,0.47,0.46,0.14,-0.51
63.16,-17.23,0.82,-0.04,0,-0.07,0.43
0.22,-11.19,-1.29,0.2,-0.4,-1.67,0.98
63.27,-17.39,-10,3.53,0.09,-2.34,0.87
63.33,-9.46,4.2,2.04,0.31,-1.16,0.61
63.38,-6.05,-1.88,3.49,-0.73,-1.62,0.61
63.43,-4.21,-1.26,2.63,-1.59,-1.9,0.34
0.49,-4.13,-2.31,3.45,-0.77,-0.77,0.27
63.54,-4.29,-2.04,3.69,-0.22,0.33,0.53
63.6,-5.54,0,6.71,-0.08,1.53,-0.06
63.65,-13.94,-0.08,3.65,-0.44,0.49,-0.05
63.7,-8.64,-0.27,12.43,-0.2,-0.47,-0.15
63.76,-10.8,-0.82,3.33,0.32,-0.44,0.46
63.81,-16.64,-2.39,1.41,-0.16,1.61,-0.72
63.87,-2.21,-2.16,1.96,-0.54,-0.78,0.07
0.92,-11.62,0.04,2.67,1.48,2.32,0.36
63.97,-6.64,1.49,0.71,0.37,1.12,0.14
64.03,-6.44,-1.96,2.35,0.05,0.86,-0.46
64.08,-7.35,-1.53,1.8,0.36,1.22,-0.63
64.14,-8.72,-0.67,1.26,0.55,1.23,-0.84
64.19,-10.09,-0.71,1.84,0.48,0.84,-0.87
64.24,-9.5,0.43,2.31,0.31,0.1,-0.37
64.3,-16.92,-0.75,-1.06,-0.05,0.06,0.51
64.35,-13.58,-1.96,0.16,-0.59,-1.75,1.21
64.4,-14.33,-9.06,3.14,-0.03,-2.3,0.91
64.46,-8.17,2.12,2.94,0.69,-1.56,0.28
64.51,-7.74,-0.59,2.51,-0.67,-1.89,0.59
0.57,-3.11,-2.04,3.33,-1.17,-1.88,0.42
64.62,-4.56,-2.08,3.61,-0.53,-0.77,0.27
64.68,-4.29,-0.67,4.2,-0.35,0.23,0.39
64.73,-4.8,-0.43,7.02,-0.22,1.68,-0.12
64.78,-14.6,-0.9,4.24,-0.35,1.5,-0.25
0.84,-11.03,-2.08,18.95,-0.02,-0.52,-0.19
64.89,-7.31,-6.47,3.02,0.57,-1.5,-0.02
64.94,-11.78,1.41,2.98,0.02,0.66,-0.92
65,-4.01,-3.57,2.2,-0.12,0.23,-0.1
65.05,-8.48,-0.67,2.63,0.77,1.53,0.04
65.11,-8.09,-0.08,0.2,0.78,1.26,-0.14
65.16,-7.03,-0.16,2.12,0.25,1.21,-0.58
65.22,-8.29,-1.41,1.69,0.27,1.18,-0.57
65.27,-9.19,-0.08,1.84,0.47,1.08,-0.79
65.32,-12.05,-0.08,0.67,0.59,0.52,-0.83
65.38,-12.52,-0.9,2.94,0.29,0.09,0.1
65.43,-13.27,-1.06,-0.78,0.22,-0.75,0.6
65.49,-12.6,-4.43,2.31,-0.6,-1.99,1.2
65.54,-12.84,-2.43,-0.47,0.16,-1.38,0.44
65.59,-9.74,-1.06,3.69,-0.06,-1.82,0.28
65.65,-7.07,-2.31,3.77,-0.35,-2.04,0.25
65.7,-2.6,-0.78,3.37,-0.99,-2.15,0.24
65.76,-3.7,-2,3.65,-0.38,-0.58,0.61
65.81,-3.54,-1.06,5.22,-0.36,0.87,0.41
65.86,-6.21,0.16,7.1,-0.15,2.06,-0.22
65.92,-16.88,-0.43,-0.2,-0.66,0.01,0.16
65.97,-14.56,-1.69,3.49,-0.58,0.23,0.11
66.03,-12.99,-9.53,0.47,0.94,-0.18,-0.73
66.08,-8.25,3.69,2.98,0.9,-0.01,0.18
66.13,-8.17,-5.02,2.75,0.24,1.38,-0.16
66.19,-6.76,-0.94,1.29,0.68,1.19,0.09
66.24,-6.91,-0.55,0.08,0.79,1.09,-0.3
66.3,-7.66,-1.29,1.96,0.34,1.29,-0.56
66.35,-8.64,-0.9,1.1,0.38,1.39,-0.55
66.4,-9.03,-0.86,1.61,0.45,0.88,-0.77
66.46,-11.19,-2.2,2,0.66,0.35,-0.7
66.51,-10.44,1.06,3.1,0.62,-0.07,-0.28
66.57,-13.7,-1.8,-0.59,-0.05,-0.28,0.56
66.62,-12.17,-4.16,2.08,-0.63,-1.93,1.22
66.68,-13.7,-6.47,0.67,0.15,-2.15,0.69
66.73,-8.68,-0.04,2.63,0.39,-1.32,0.57
66.78,-6.56,-0.67,3.33,-0.52,-2.05,0.46
0.84,-3.66,-1.45,3.41,-1.18,-1.81,0.5
66.89,-5.11,-2.24,3.73,-0.69,-0.81,0.5
66.94,-3.93,-1.41,3.92,-0.61,0.45,0.5
67,-5.23,-0.39,6,-0.34,1.76,-0.01
67.05,-14.45,-1.02,2.75,-0.6,0.72,-0.1
67.11,-10.09,-0.71,14.4,-0.04,0.02,-0.09
67.16,-3.78,-2.98,3.57,0.1,-1.34,0.27
67.21,-16.72,0.86,1.96,0.08,2.01,-0.71
67.27,-0.68,-5.06,1.02,-0.77,-0.75,0.01
67.32,-12.01,0.35,2.59,1.3,2.68,0.31
67.38,-7.23,1.29,1.26,0.86,1.05,0.01
67.43,-7.31,-1.29,1.77,0.24,0.96,-0.58
67.49,-7.86,-1.8,1.77,0.27,1.26,-0.65
67.54,-8.84,-1.57,1.53,0.42,1.29,-0.82
67.59,-9.46,-1.61,1.53,0.73,0.78,-0.84
67.65,-9.42,-0.98,1.18,0.62,0.02,-0.45
67.7,-15.15,-0.67,2.31,0.16,0.04,0.25
67.75,-13.5,-1.37,-0.98,0.1,-0.92,0.72
67.81,-12.13,-7.18,4.24,-0.59,-2.22,1.33
67.86,-9.58,0.94,0.39,0.69,-1.2,0.37
67.92,-9.74,0.63,4.35,-0.13,-1.8,0.65
67.97,-6.05,-1.88,3.41,-1.04,-1.82,0.6
68.03,-5.15,-2.16,3.37,-0.95,-1.12,0.27
68.08,-4.64,-1.1,3.45,-0.33,-0.57,0.53
68.13,-4.8,-0.94,5.26,-0.39,0.48,0.31
0.19,-6.64,-0.71,4.98,-0.05,1.62,-0.21
68.24,-13.74,-1.06,1.92,-0.43,0.66,0.01
68.29,-9.7,1.92,9.3,-0.07,-0.09,0.04
68.35,-10.48,-4.43,5.84,-0.54,-1.04,0.07
68.4,-16.17,-4.2,2.12,-0.44,0.98,-0.97
0.46,-2.8,-0.59,1.37,-0.51,-0.7,-0.01
68.51,-9.7,-1.77,2.82,0.44,1.96,0.25
68.57,-8.37,-0.75,2.24,0.49,1.02,0.01
68.62,-8.37,-1.57,2.79,0.2,0.81,-0.3
68.67,-9.39,-1.1,2.12,0.26,0.55,-0.4
