NAME: ,run_113_1_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:11,,,,,
ACTIVITY TYPE: ,RUNNING,,,,,
COUNT OF ACTUAL STEPS: ,18,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
229.08,-9.15,-0.08,2.2,0.13,0.14,-0.1
229.14,-9.62,0.24,2.24,0.23,0.18,-0.04
229.19,-9.5,0.59,2.59,0.15,0.16,-0.1
229.25,-8.99,0.08,2.55,0.08,0.08,-0.14
229.3,-9.23,0,2.04,0.17,0.08,-0.22
229.35,-9.46,-0.82,2.43,0.13,0.13,-0.26
229.41,-8.91,1.06,2.12,0.34,0.34,-0.31
229.46,-8.91,0.31,1.84,0.11,0.58,-0.38
229.52,-8.95,0,1.65,0.28,0.49,-0.48
229.57,-8.8,0.59,1.29,0.18,0.47,-0.49
229.62,-8.64,-1.49,1.02,-0.12,0.93,-0.43
229.68,-10.09,-0.75,-0.24,0.47,0.65,-0.21
229.73,-10.72,1.02,2.04,0.99,0.45,-0.02
229.79,-11.03,2.82,4.04,0.79,0.46,-0.1
229.84,-14.88,3.14,1.65,-0.15,-0.09,0.03
229.89,-12.21,2,1.84,-0.82,-1.5,0.69
229.95,-9.86,-0.75,-1.69,-1.89,-2.31,0.45
230,-15.7,-3.41,2.9,-0.45,-1.82,1.05
230.06,-19.03,3.18,6.67,-1.14,-2.66,0.2
230.11,-14.17,1.69,8.28,-2.1,-2.08,0.34
230.16,-3.46,-0.78,4.94,-0.83,-0.84,0.41
230.22,0.38,-6.12,1.33,-0.38,0.31,0.71
230.27,2.15,-3.02,-2.71,0.2,0,-0.23
230.33,-2.01,-2.47,2.67,1.08,2.23,-0.19
230.38,-19.51,-8.39,0.63,2.05,-1.26,0.15
230.43,10.86,-12,3.84,-1.66,-2.39,-2.37
230.49,-15.11,3.77,8.04,1.52,2.09,0.36
230.54,-6.99,4.63,6.47,1.78,2.1,-0.92
230.6,-19.03,3.57,1.33,0.71,2.35,-0.7
230.65,-2.91,1.49,5.61,0.15,1.02,-0.48
230.7,-1.15,2.9,-0.75,-0.55,-0.7,-0.36
230.76,-1.5,-1.22,-1.57,-0.61,-0.85,0.83
230.81,-17.11,-0.16,1.45,-2.02,-1.54,1.2
230.87,-19.51,-11,-1.26,-0.09,-1.64,0.76
230.92,-16.92,7.92,10.2,-0.17,-2.84,0.01
230.97,-16.88,-2.94,4.98,-2.28,-1.7,-0.37
231.03,-1.97,-0.31,3.57,-0.51,-0.03,0.01
231.08,-0.44,-1.1,-1.18,0.93,-0.54,0.47
231.14,5.09,-4.43,-0.04,-0.09,-0.26,-0.9
231.19,-7.46,-0.31,1.61,0.93,1.96,-0.22
231.24,-19.51,-1.57,-4.79,1.11,0.71,-0.24
231.3,-2.52,5.22,3.33,1.86,-0.08,-0.39
