NAME: ,walk_113_5_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:10,,,,,
ACTIVITY TYPE: ,WALKING,,,,,
COUNT OF ACTUAL STEPS: ,22,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
197.87,-10.13,-1.8,1.84,0.22,0.23,-0.07
197.92,-8.95,-1.06,1.69,0.41,0.11,0.11
197.97,-10.01,-0.2,1.49,0.37,0.2,0.07
198.03,-9.31,-0.55,1.8,0.07,0.14,-0.07
198.08,-8.84,-0.51,2.51,-0.08,0.23,-0.03
14,-9.15,-0.71,2.51,-0.11,0.26,-0.17
198.19,-8.68,-1.26,2.35,-0.2,0.3,-0.21
198.24,-9.27,-1.06,1.84,-0.01,0.42,-0.3
198.3,-9.66,-1.53,1.1,0.03,0.51,-0.33
198.35,-10.91,-1.65,1.61,0.28,0.57,-0.28
198.41,-12.95,1.37,2,0.43,0.46,-0.33
198.46,-13.39,0.55,0.27,-0.17,-0.16,0.09
198.51,-12.84,-4,1.53,-0.66,-0.99,0.61
198.57,-8.84,-4.43,0.98,-0.74,-1.81,0.43
198.62,-8.8,-2.79,0.67,-0.14,-1.79,0.42
198.68,-10.68,0.43,3.33,0.21,-1.22,0.6
198.73,-8.25,-3.06,2.9,-0.6,-1.91,0.3
198.78,-5.66,-2.12,4.55,-0.51,-1.59,0.23
198.84,-6.56,-1.57,3.77,0.07,-1.01,0.3
0.89,-4.4,-1.41,4.35,-0.17,-0.1,0.26
95,-5.15,-0.78,6.51,-0.02,1.58,-0.15
199,-14.33,-1.37,6.32,-0.15,0.93,-0.19
199.05,-8.33,-1.18,12.83,0.07,-0.66,-0.09
199.11,-8.68,-3.18,2.63,0.37,-1.18,0.33
199.16,-13.86,-4.2,4.63,-0.52,1.37,-0.61
22,-1.85,-4.04,2.28,-0.56,-0.46,-0.03
199.27,-8.17,-1.18,4.31,0.57,2.37,0.3
199.32,-7.23,-0.82,0.98,0.7,1.21,0.09
199.38,-7.11,-0.31,2.08,0.33,1.24,-0.49
199.43,-8.05,-0.82,1.53,0.22,1.38,-0.57
199.49,-9.15,-0.47,1.65,0.3,0.97,-0.71
199.54,-8.84,-1.65,1.18,0.38,0.7,-0.69
199.59,-10.91,-0.75,2.51,0.37,0.26,-0.36
199.65,-17.07,-0.16,0.51,0.19,-0.06,0.23
199.7,-12.88,-2.43,-1.88,-0.17,-1.65,0.68
199.76,-13.46,-8.28,3.1,-0.68,-2.42,1.33
199.81,-10.13,5.22,3.26,0.82,-1.1,0.73
199.86,-8.29,-2.75,2.82,-0.46,-1.82,0.76
199.92,-4.09,-2.98,4.35,-0.83,-1.82,0.16
0.97,-4.29,-1.73,3.69,-0.57,-1.13,0.18
200.03,-3.7,-1.1,3.84,-0.35,0.14,0.44
200.08,-4.8,-0.27,6.12,-0.31,1.72,-0.19
200.13,-13.86,-0.98,4.55,-0.52,1.47,-0.15
200.19,-9.42,-1.41,17.69,-0.44,-0.15,0.05
200.24,-7.78,-7.92,0.67,0.69,-2.09,0.28
30,-10.95,2.98,1.88,-0.67,-0.41,-0.89
200.35,-5.93,-5.96,2.67,-0.41,1.06,-0.01
200.4,-7.07,-0.59,3.77,0.95,1.52,0.47
0.46,-8.09,0.67,-0.08,0.83,1.44,0.07
200.51,-6.68,-1.88,0.63,0.44,1.26,-0.55
200.57,-7.46,-0.39,1.45,0.66,1.4,-0.64
200.62,-10.13,-1.14,2.47,0.62,1.07,-0.94
200.67,-10.84,-0.2,0.98,0.65,0.56,-0.78
200.73,-13.19,-0.35,2.67,0.3,0.32,-0.04
200.78,-14.21,-3.88,-2.63,-0.12,-0.38,0.49
84,-11.74,-4.63,3.53,-0.49,-2.29,1.38
200.89,-16.37,-0.24,-0.9,0.87,-1.31,0.29
200.94,-7.7,-0.04,5.69,0,-2.19,0.19
201,-6.99,-3.88,2.82,-0.68,-1.47,0.44
201.05,-3.93,-1.26,2.59,-0.9,-1.95,0.08
201.11,-2.95,-1.49,3.1,-0.31,-0.4,0.32
201.16,-3.5,-0.08,5.41,-0.22,0.84,0.11
201.21,-8.4,-0.86,3.96,-0.18,1.97,-0.35
201.27,-19.51,-2.31,7.34,-0.59,-0.81,-0.01
201.32,-15.31,0.24,3.1,-0.24,-1.6,0.44
201.38,-14.88,-7.45,0.08,0.58,1.63,-0.97
201.43,-5.66,4,2.35,0.19,0.17,0.63
201.48,-11.82,-6.28,2,-0.23,2.87,-0.18
