NAME: ,run_113_4_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:12,,,,,
ACTIVITY TYPE: ,RUNNING,,,,,
COUNT OF ACTUAL STEPS: ,16,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
319.33,-9.58,-1.49,1.77,-0.18,-0.08,-0.01
319.38,-9.39,-2.24,2.24,-0.08,-0.14,0.02
319.43,-9.54,-2.16,2.39,-0.01,-0.24,-0.01
0.49,-9.23,-1.84,2.94,0.03,-0.12,-0.11
319.54,-9.66,-1.26,3.33,-0.05,-0.17,-0.07
319.6,-8.99,-2.08,3.06,0,-0.23,-0.02
319.65,-8.52,-2.04,3.3,-0.03,-0.05,-0.04
319.7,-9.35,-1.8,3.77,0.02,0.07,-0.2
319.76,-8.29,-1.77,3.8,0.14,0.15,-0.26
319.81,-8.25,-1.45,4.51,0.25,0.3,-0.51
319.86,-9.66,-0.75,4.51,0.31,0.35,-0.75
319.92,-9.27,-0.08,5.45,0.43,0.21,-0.67
319.97,-9.86,-1.18,4.35,0.3,0.35,-0.38
320.03,-9.19,-0.39,4.28,0.45,0.51,-0.2
320.08,-8.17,0.86,3.14,0.26,0.29,-0.2
320.14,-9.15,-2.31,4.08,-0.4,0.56,-0.06
320.19,-9.27,-1.49,3.1,0.08,0.55,-0.07
320.24,-9.11,-1.29,2.67,-0.11,0.93,-0.18
0.3,-11.66,-2.59,2.55,-0.11,1.36,-0.45
320.35,-13.46,-0.04,3.02,0.28,1.31,-0.38
320.4,-10.29,0.63,1.33,-0.04,0.25,-0.05
320.46,-8.72,-1.49,0.86,-0.98,-0.65,0.53
320.51,-6.44,-3.92,1.33,-1.51,-1.73,1.28
0.57,-11.86,-1.37,1.41,-1.12,-2.17,0.53
320.62,-14.21,-4.35,3.96,0.31,-3.24,1.07
320.67,-19,4.08,11.18,-1.16,-4.16,0.4
320.73,-13.46,-6.83,14.91,-1.95,-2.73,0.15
320.78,-5.07,0.16,9.14,-0.85,-0.54,0.55
320.84,2.42,-4.82,-1.92,0.77,0.78,0.64
320.89,3.6,-1.49,-0.82,0.62,0.86,-0.36
320.95,-0.95,-0.98,2.47,-0.11,2.22,-0.97
321,-5.66,0.86,2,0.92,1.78,0.5
321.05,-19.51,-10,6.39,1.62,-2.96,-0.74
321.11,1.79,15.02,5.22,4.14,-0.24,-0.12
321.16,-19.51,-12,8.71,-0.43,3.49,-1.05
321.21,-15.43,10.32,5.88,1.47,3.81,-0.58
321.27,-18.09,-2.82,5.81,-0.4,2.87,0.05
321.32,-6.44,-7.65,2.08,-1.2,0.86,-1.14
321.38,0.66,3.22,-1.02,0.98,-1.43,0.71
