NAME: ,walk_113_3_1.csv,,,,,
EXPERIMENT TIME: ,13/03/2024 12:09,,,,,
ACTIVITY TYPE: ,WALKING,,,,,
COUNT OF ACTUAL STEPS: ,26,,,,,
,,,,,,
Time[sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.65,-9.46,-1.92,2.16,0.04,0.08,-0.01
135.7,-9.31,-1.77,2.59,0.07,0.11,-0.02
135.76,-9.31,-1.33,2.47,0.05,0.1,-0.06
0.81,-9.46,-1.49,3.02,-0.06,0.22,-0.14
135.87,-9.86,-0.9,2.35,0,0.23,-0.15
135.92,-9.42,-1.53,1.96,-0.06,0.23,-0.08
135.97,-9.42,-1.18,1.73,0.18,0.26,0.04
136.03,-9.39,-0.75,1.84,0.16,0.28,-0.03
136.08,-9.07,-0.55,2.31,-0.03,0.28,-0.06
136.14,-9.19,-0.94,1.96,-0.25,0.33,-0.08
136.19,-9.23,-1.69,2.28,-0.11,0.33,-0.07
136.24,-9.39,0.12,1.77,0.2,0.35,-0.12
136.3,-10.01,0.43,0.67,0.07,0.39,-0.2
136.35,-11.15,-2.47,2,-0.03,0.35,-0.06
136.41,-12.99,-1.57,1.45,0.4,0.06,-0.24
136.46,-13.15,-1.18,2.12,0.44,-0.72,0.17
136.51,-9.54,-2.39,2.82,-0.42,-1.5,0.32
136.57,-8.68,-2.59,1.69,-0.76,-1.87,0.46
0.62,-9.46,-1.92,2.82,-0.26,-1.28,0.69
136.68,-8.44,-2.47,2.28,-0.31,-1.68,0.2
136.73,-5.34,-2.43,4.43,-0.45,-1.82,0.16
136.78,-6.72,-1.61,3.96,0,-1.12,0.52
136.84,-4.87,-1.1,4.2,-0.24,-0.36,0.41
0.89,-4.99,-0.24,6,-0.42,0.84,0.09
136.95,-11.74,0.12,6.86,-0.39,1.12,-0.17
137,-13.15,-1.84,10.12,-0.14,-0.98,0.01
137.05,-11.39,0.78,2.55,0.11,-0.32,0.26
137.11,-14.56,-7.53,0.55,0.33,1.37,-0.97
137.16,-4.87,-0.31,1.61,0.27,-0.28,-0.01
137.22,-9.39,-1.22,2.35,0.82,2.52,0.11
27,-7.11,-0.51,1.29,0.87,1.14,0.02
137.32,-7.74,0.16,2,0.48,1.24,-0.38
137.38,-8.88,-1.29,1.61,0.33,1.35,-0.45
0.43,-9.19,-0.59,1.37,0.35,1.24,-0.5
137.49,-9.07,-1.53,1.53,0.3,0.88,-0.7
0.54,-11.31,-0.47,-0.2,0.62,0.44,-0.56
137.59,-15.07,-1.45,2.79,0.38,0.06,0.01
137.65,-13.58,-1.49,-1.1,0.11,-1.28,0.39
137.7,-14.01,-8.39,4.04,-1.07,-2.48,1.57
137.76,-9.82,2.79,0.35,0.61,-1.04,0.47
137.81,-7.35,-1.65,3.14,-0.32,-2.04,0.53
